lof_csq_collapsed,N_singletons,expected_singletons,N_variants,ps_agg,maps,maps_sem
3_prime_UTR_variant,2976053,3.0123e+06,5858165,5.0802e-01,-6.1929e-03,2.0655e-04
5_prime_UTR_variant,542108,5.3264e+05,1051209,5.1570e-01,9.0097e-03,4.8743e-04
HC,96575,7.4355e+04,152811,6.3199e-01,1.4541e-01,1.2337e-03
LC,11237,1.0229e+04,20382,5.5132e-01,4.9467e-02,3.4837e-03
coding_sequence_variant,10,1.3344e+01,25,4.0000e-01,-1.3378e-01,9.7980e-02
downstream_gene_variant,9010774,9.3225e+06,18289519,4.9267e-01,-1.7044e-02,1.1690e-04
incomplete_terminal_codon_variant,3,3.5495e+00,7,4.2857e-01,-7.8507e-02,1.8704e-01
intron_variant,104368526,1.0786e+08,208203484,5.0128e-01,-1.6781e-02,3.4652e-05
missense_variant,2042633,1.8809e+06,3913394,5.2196e-01,4.1323e-02,2.5251e-04
splice_acceptor_variant,210,1.6845e+02,307,6.8404e-01,1.3535e-01,2.6533e-02
splice_donor_variant,173,1.5528e+02,298,5.8054e-01,5.9467e-02,2.8586e-02
splice_region_variant,230902,2.2451e+05,438657,5.2638e-01,1.4579e-02,7.5388e-04
start_lost,6265,5.8095e+03,10721,5.8437e-01,4.2489e-02,4.7597e-03
stop_gained,587,4.5634e+02,989,5.9353e-01,1.3211e-01,1.5618e-02
stop_lost,2488,2.1849e+03,3960,6.2828e-01,7.6550e-02,7.6796e-03
stop_retained_variant,1244,1.2087e+03,2212,5.6239e-01,1.5954e-02,1.0548e-02
synonymous_variant,908228,9.0823e+05,1942562,4.6754e-01,-1.7979e-16,3.5799e-04
upstream_gene_variant,9073229,9.2642e+06,18072277,5.0205e-01,-1.0568e-02,1.1761e-04
